据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,注残数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,2,20211228,20220130,OUT,JTC,8000,108922800,NSS 10.9.12,100,RMB,3400,,2902,MPJP,IN,电产京利,1020,798
MPSH,2,20211228,20220430,OUT,POLYSTAR,1900,,HG-KR23J,35,RMB,1130.0885,,3401,其他,OUT,包利思特,9099,799
MPSH,2,20211228,20220215,OUT,TAKAMAZZHANGHZ,1000,123070800,SFC-080SA2-T002,10,RMB,380.342,,2301,MPTJ,OUT,友嘉高松,1090,800
MPSH,2,20211228,20220118,OUT,TAKAMAZZHANGHZ,1000,123070800,SFC-080SA2-T002,20,RMB,380.342,,2301,MPTJ,OUT,友嘉高松,1090,801
MPSH,2,20211228,20220315,OUT,TAKAMAZZHANGHZ,1000,123070800,SFC-080SA2-T002,20,RMB,380.342,,2301,MPTJ,OUT,友嘉高松,1090,802
MPSH,2,20211228,20220105,OUT,MISUMI,8000,121881400,SFC-020DA2-7B-8B,2,RMB,121.37,,2301,MPTJ,OUT,米思米,8020,803
MPSH,2,20211228,20211230,OUT,CHANGZHOU LEINIER,8000,,101-08-13N 24V 15JIS,15,RMB,159,,1301,MPTJ,OUT,钰邦电子,1190,804
MPSH,2,20211228,20220110,OUT,STAR PRECISION,1000,,SFC-050SA2-T171,430,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,805
MPSH,2,20211228,20220110,OUT,STAR PRECISION,1000,,SFC-050SA2-T212,140,RMB,153,,2301,MPTJ,OUT,斯大精密,1090,806
MPSH,2,20211228,20220108,OUT,STAR PRECISION,1000,,SFC-050SA2-T171,290,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,807
MPSH,2,20211228,20220208,OUT,STAR PRECISION,1000,,SFC-050SA2-T171,380,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,808
MPSH,2,20211228,20220110,OUT,BITPASS,8000,121862300,SFC-050DA2-12B-22B,2,RMB,101,,2301,MPTJ,OUT,上海联泰,1190,809
MPSH,2,20211228,20220225,OUT,BITPASS,8000,123141000,PSL-D-8,10,RMB,152,,2602,MPTJ,OUT,上海联泰,1190,810
MPSH,2,20211228,20220107,OUT,BITPASS,8000,121830500,SFC-050SA2-20B-24B,1,RMB,75,,2301,MPTJ,OUT,上海联泰,1190,811
MPSH,2,20211228,20220107,OUT,BITPASS,8000,,ALS-095ARN-40BHA-40BHA,1,RMB,318,,2202,MPTJ,OUT,上海东富龙,1820,812
MPSH,2,20211228,20220114,OUT,BITPASS,8000,123147200,PSL-G-20-C,30,RMB,133,,2602,MPTJ,OUT,上海东富龙,1820,813
MPSH,2,20211228,20220105,OUT,BITPASS,8000,121897000,SFC-035DA2-8B-11B,1,RMB,67,,2301,MPTJ,OUT,杭州长川,1510,814
MPSH,2,20211228,20220120,OUT,TIANJIN AOXIANG,8000,128186900,546-15-34-NF 24V 25JIS SH,1,RMB,3270,,1501,MPJP,IN,天津赛象,0990,815
